Complete?,Title of Policy,Date Entered,Entered By,QC Checked By,QC Check Date,Description,Policy Type,Legal Status,Primary Lever,Primary Policy Category (Broad),Secondary Lever,Secondary Category (If Necessary),Primary Subcategory,Secondary Subcategory (if necessary),Methodology,Second Methodology (if necessary),Participation,Jurisdiction,Location,Country,lat,lon,Implementing Agency,Status,Date Enacted,low,Covered Sector(s),Covered Material(s),Covered Life-Cycle Stages,Application Type,Scale of Approach,Covered Applications,Covered Impacts,Target,Target Date,Additional Targets,Compliance Mechanism,Threshold Varies?,Compliance Threshold Quantity/Range,Compliance Threshold Unit,Threshold Methodology ,Disclosure Type,Required Disclosure Standard,Required PCR,Disclosure Specificity,Disclosure Material Quantities,Disclosure Data Repository,Link(s),Archived Version,Source(s),Notes,Other
FALSE,H.B. 1282: Requiring Environmental and Labor Reporting for Public Building Construction and Renovation Material.,5/5/2024,"Hayes, Jackson",,,"The bill mandates that firms engaged in large public construction or renovation projects report environmental and health product declarations, labor conditions, and additional data, while also establishing a public database managed by the Department of Commerce for this data. It also sets up a Buy Clean and Buy Fair Work Group to promote the use of low-carbon materials and uphold high labor standards in manufacturing.",Law ,Statutory,Plan,Climate Commitment,Climate Action Plan,Training & Education,Climate Action Plan,Education,NA,,Mandatory,State,"WA, USA",United States,47.081806,-120.512191,Department of Commerce,Active,2023,2024,"327390, 331110, 332312, 321213,321214","Other Concrete Product, Iron and Steel Mills and Ferroalloy, Fabricated Structural Metal, Engineered Wood Member (except Truss), Truss","A1, A2, A3",Materials,Product,"Construction projects larger than 50,000 gross square feet",GHG Emissions,NA,NA,NA,EPD type III,NA,NA,NA,NA,EPD Type III,ISO 14025,NA,NA,NA,NA,https://lawfilesext.leg.wa.gov/biennium/2023-24/Pdf/Bill%20Reports/House/1282%20HBR%20CB%2023.pdf,https://app.box.com/file/1521821087455,,,
FALSE,H.B.0261: Eligible Projects - Procurement of Construction Materials (Buy Clean Maryland Act),3/20/2024,"Irish, Hannah","Hayes, Jackson",,"Requiring producers of any cement or concrete mixture used in the construction of an eligible project to submit environmental product declarations to the Department of General Services by December 31, 2024; requiring the Department to establish a maximum acceptable global warming potential for certain categories of eligible materials by January 1, 2026; establishing an Environmental Product Declaration Assistance Fund to support the development of certain environmental product declarations; etc.",Law ,Statutory,Market-Based,Clean Procurement,Procurement Policy,,Buy Clean,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,State,"MD, USA",United States,39.355141,-76.922539,Maryland Department of General Services,Active,2023,2026,3273,"Concrete, cement","A1, A2, A3",Buildings,Product,NA,GHG Emissions,NA,NA,Reduce limits in 2029 and every 3 years after,EPD Type III,NA,NA,NA,Industry Average,EPD,ISO 14025,NA,NA,NA,NA,https://mgaleg.maryland.gov/2023RS/bills/hb/hb0261E.pdf,,,,
FALSE,Seattle Green Building Incentives (Priority Green Expedited),3/20/2024,"Irish, Hannah","Hayes, Jackson",,"Construction projects can receive incentives for participating in different green building requirements including meeting goals for embodied carbon in building materials. Incentives include expedited permits, more leeway on zoning ordinances, etc. ",Voluntary Program,Non-Statutory,Market-Based,Building Codes/Planning,Non-Monetary Advantage,,Zoning Incentives,Building Design Incentives,Reporting/Analysis Requirement,,Voluntary,City,"Seattle, WA, USA",United States,47.588385,-122.310493,City of Seattle,Active,2018,2019,NA,NA,NA,All Construction projects,Project,All Construction,"GHG Emissions, Water reduction",100 clean energy in buildings and vehicles,2050,NA,NA,NA,NA,NA,NA,Application,NA,NA,NA,NA,NA,https://www.seattle.gov/sdci/permits/green-building,,,,
FALSE,United Kingdom Voluntary Product Standards,3/21/2024,"Irish, Hannah",,,"The government announced that it will 1. work with industry to establish voluntary product standrads that businesses could choose to adopt to help promote their low carbon products to consumers, 2. Develop an embodied emissions reporting framework that could serve future carbon leakage and decarbonization policies and 3. carry out a further technical consultation in 2024 on voluntary product standards and embodied emissions reporting and continue to work closely with UK industry to develop these measures further",Voluntary Program,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Climate Action Plan,,Reporting/Analysis Requirement,,Voluntary,National,United Kingdom,United Kingdom,51.09865,-0.118092,Department for Energy Security & Net Zero,Proposed,2023,NA,NA,NA,NA,NA,NA,NA,GHG Emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.gov.uk/government/consultations/addressing-carbon-leakage-risk-to-support-decarbonisation/outcome/factsheet-voluntary-standards-and-embodied-emissions-reporting,,,,
FALSE,City of Emeryville Community Benefit Bonus Mass Timber,6/18/2024,"Irish, Hannah",,,"The City Council passed the first reading of an ordinance amending the Planning Regulations to add Mass Timber Construction as a community benefit eligible for development bonus points. Utilizing mass timber allows bonus points for projects making them more eligible for bonuses for height, floor area ratio (FAR),
and/or residential density ",,Statutory,,Building Codes/Planning,,,Zoning Incentives,,Green Building Design,,Both Mandatory and Voluntary Aspects,City,"Emeryville, CA, USA",United States,37.833533,-122.288363,Emeryville City Council,Active,2022,2022,321,Timber,NA,Buildings,Project,Buildings,GHG Emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.ci.emeryville.ca.us/DocumentCenter/View/14071/Item-93---Mass-Timber-Construction,,,,
FALSE,Boston Draft Net Zero Carbon Zoning Proposal,6/18/2024,"Irish, Hannah",,,"Beginning in 2026, new buildings in Boston with 15 units or more, a minimum of 20,000 sq. ft., and additions of a minimum of 50,000 sq. ft. or more to existing buildings, will be required to meet a net-zero emissions standard (i.e. BERDO 2050 CO2e Emissions Standard). Buildings shall demonstrate net zero emissions every year through the compliance pathways in the Building Emissions Reduction and Disclosure Ordinance (BERDO). The existing BERDO reporting and regulatory framework will enforce the annual emissions limits established under zoning.",,Statutory,,Building Codes/Planning,,,Building Code Requirements,,Whole-Building Carbon Reduction,,Mandatory,City,"Boston, CA",United States,42.336436,-71.078818,Boston Planning & Development Agency,Proposed,2024,2026,NA,NA,NA,Buildings,Project,"New Buildings with 15 units or more, a minimum of 20,000 sqft and additions of 50,000 sqft or more to existing buildings",GHG Emissions,Carbon neutrality,2050,NA,NA,NA,NA,NA,BERDO 2050 CO2e Emissions Standard,NA,NA,NA,NA,NA,NA,https://www.bostonplans.org/getattachment/c63f67da-2877-4351-84de-067a1269846c,,,,
FALSE,CALGreen 2022 Embodied Carbon Provisions,6/18/2024,"Irish, Hannah",,,"The CALGreen 2022 Intervening Code Adoption Cycle (effective July 1, 2024) includes new embodied carbon provisions. The code offers three paths of compliance: building reuse, WB LCA, or a prescriptive approach similar to Buy Clean California but with concrete. The code applies to nonresidential buildings greater than 100,000 sf and school projects over 50,000 sf in both adaptive reuse and new construction projects.",,Statutory,,Building Codes/Planning,,,Building Code Requirements,,Reporting/Analysis Requirement,,Both Mandatory and Voluntary Aspects,State,"CA, USA",United States,37.22544,-119.855923,California Building Standards Commission,Passed,2022,2024,"3311, 327211, 32732","Structural steel, rebar, flat glass, light and heavy-duty mineral wool insulation, ready mix concrete",A1-A3,Buildings,Project,"Commercial buildings 100,000 sqft and larger and schools 50,000 sq ft and larger",GHG Emissions,NA,NA,NA,"Industry-Wide Type III EPD, WB LCA ","Yes, See Supporting Documents",See document,"MT CO2e/MT, kgCO2e/MT, kgCO2e/m2, kgCO2e/m2",Industry Average,"EPD, WB-LCA","ISO 14025, ISO 14044",NA,NA,NA,NA,https://www.dgs.ca.gov/-/media/Divisions/BSC/03-Rulemaking/2022-Intervening-Cycle/Pre-Cycle/CCRC-20220908/2022-09-08-ITEM-2d-Carbon-Reduction.pdf?la=en&hash=8F76E51A9E7493BE882364537DE0518E87865FD2,,,,
FALSE,U.S. Department of General Services P100 Facilities Standards for the Public Buildings Service,6/18/2024,"Irish, Hannah",,,The GSA-owned buildings internal design standard now includes a requirement for all new construction and major modernization projects to target a 20% embodied carbon reduction by performing a WBLCA,,Statutory,,Building Codes/Planning,,,Building Code Requirements,,Whole-Building Carbon Reduction,,Mandatory,U.S. County,USA,United States,40.943725,-101.352272,Department of General Services,Active,2022,2022,NA,NA,A1-A3,Buildings,Project,All buildings owned by the US DGA,GHG Emissions,20% reduction in embodied carbon,NA,NA,Whole-Building Life-Cycle Assessment,NA,NA,kgCO2/m2,NA,WB-LCA,ASTM E2921's Standard Practice for Comparing WBLCAs,NA,NA,NA,NA,https://www.gsa.gov/system/files/P100%202024%20Final_0.pdf,,,,
FALSE,New Jersey Low Embodied Carbon Concrete Leadership Act,6/18/2024,"Irish, Hannah",,,"Provides CBT tax credit for certain deliveries of low carbon concrete and for costs of conducting environmental product declaration analyses of low carbon concrete for projecs which require the purchase of 50 cubic yards or more of concrete. Concrete is considered ""low carbon"" if it certified to embody lower carbon emissions as measured by GWP than the baseline for conventional (not stated what the baseline is)",,Statutory,,Clean Procurement,,,Public Sector Incentives,,Monetary Incentive Provision,,Voluntary,State,"NJ, USA",United States,40.146637,-74.581745,NJ State Legislature,Active,2023,2024,3273,Concrete,A1-A3,Any construction or improvement project,Product,construction or improvement project that requires the purchase of 50 cubic yards or more of concrete,GHG Emissions,NA,NA,NA,EPD,NA,"Below ""baseline""",NA,NA,EPD,ISO 14025,NA,Product,50 cubic yards or more,NA,https://pub.njleg.gov/Bills/2022/S0500/287_I1.HTM,,,,
FALSE,Low-Carbon Transportation Materials Grants Program of Inflation Reduction Act,6/18/2024,"Irish, Hannah",,,"On March 12, 2024, FHWA announced $2 billion available to fund low carbon materials that create less pollution by reducing the levels of embodied greenhouse gas emissions, including concrete (and cement), glass, asphalt mix, and steel. In FHWA's Low Carbon Transportation Materials (LCTM) Program $1.2 Billion is available to State Departments of Transportation (including District of Columbia and Puerto Rico) through a Request for Applications (RFA) to fund activities and projects that advance the use of low carbon materials and products. This RFA approach will allow FHWA to quickly provide reimbursement or incentive funds to states to begin eligible activities and incorporate low carbon materials on construction projects now. In the coming months FHWA will also make available $800 million to target non-State applicants, including metropolitan planning organizations, local governments or agencies, Federally recognized tribes, Federal Lands Management Agencies, and other agencies through a Notice of Funding Opportunity (NOFO). FHWA encourages non-State applicants to partner with states on applications and projects.",,Statutory,,Clean Procurement,,,Public Sector Incentives,,Monetary Incentive Provision,,Voluntary,National,USA,United States,40.943725,-101.352272,US Department of Transportation Federal Highway Administration,Active,2024,2024,"3273, 32412, 3272, 3311","Concrete/cement, Asphalt, Flat Glass, Steel",NA,Transportation projects,Product,State Department of Transportation projects,GHG Emissions,Net Zero Purchasing,2050,NA,NA,NA,NA,NA,NA,SF-424 Application,NA,NA,NA,NA,NA,https://www.fhwa.dot.gov/lowcarbon/,,,,
FALSE,New York City Executive Order 23,6/18/2024,"Irish, Hannah",,,"Capital project agencies shall make their best efforts to incorporate low-carbon concrete specifications for all batch plant ready-mixed concrete used in capital projects and for concrete sidewalks, where such agency determines that such specifications are practicable and not preempted by State or Federal requirements. Capital project agency. In accordance with guidance from the Office, capital project agencies shall develop and submit action plans aimed at reducing embodied carbon in capital projects to the Office by October 1, 2023. Such agencies are encouraged to develop joint action plans.construction managers shall submit environmental product declarations (EPDs) to the Building Transparency database, a publicly available database of EPD",,Statutory,,Clean Procurement,,,Owner Procurement Guidelines,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,City,"New York City, NY, USA",United States,40.739929,-73.986189,New York City Mayor's Office,Active,2023,2023,"3311, 3273","Concrete, Steel",A1-A3,Any construction project,Product,Substantial reconstruction and new projects,GHG Emissions,Carbon Neutrality,2050,NA,EPD Type III; Life Cycle Assessment,NA,NA,NA,NA,EPD Type III; LCA,ISO 14025,NA,Product,NA,Building Transparency Database,https://www.nyc.gov/office-of-the-mayor/news/023-002/executive-order-23,,,,
FALSE,NSW Decarbonising Infrastructure Delivery,6/18/2024,"Irish, Hannah",,,Government construction projects must contract from suppliers which are able to certify lower embodied carbon materials through either a NABERS Embodied Carbon 4-star rating or other low-carbon/avoided carbon specification (not detailed) starting July 2024,,Statutory,,Clean Procurement,,,Owner Procurement Guidelines,,Reporting/Analysis Requirement,Product/Material-Specific Carbon Limits or Reductions,Mandatory,State,"New South Wales, Australia",Australia,-32.479126,147.881551,New South Wales Government,Active,2023,2024,NA,NA,NA,All construction projects,Product,NSW contracted construction projects,GHG Emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Product,NA,NA,https://www.dcceew.gov.au/sites/default/files/documents/esp-policy-reporting-framework.pdf,,,,
FALSE,China Notice on Expanding the Scope of the Government Procurement Policy to Support Green Building Materials and Promote Improved Building Quality,6/18/2024,"Irish, Hannah",,,"Starting from November 2022, the government procurement policy of supporting green building materials and promoting the improvement of building quality will be implemented in 48 cities (districts) including Chaoyang District, Beijing (including the previous 6 pilot cities, see Appendix 1 for the specific list of cities). Projects included in the scope of policy implementation include government procurement projects such as hospitals, schools, office buildings, complexes, exhibition halls, convention and exhibition centers, gymnasiums, and affordable housing, including government procurement projects subject to the Tendering and Bidding Law. The relevant cities may choose to implement some projects first, and gradually expand the scope based on summarizing experience, so as to achieve full coverage of the implementation of government procurement project policies by 2025. It is encouraged to include other government investment projects in the scope of implementation.",,Statutory,,Climate Commitment,,,Resolution/Declaration of Intent,,Plan,,Mandatory,National,China,China,35.813595,101.038182,Ministry of Finance Ministry of Housing and Urban-Rural Development Ministry of Industry and Information Technology,Active,2022,2022,NA,NA,NA,Buildings,Project,"government procurement projects such as hospitals, schools, office buildings, complexes, exhibition halls, convention and exhibition centers, gymnasiums, and affordable housing, including government procurement projects subject to the Tendering and Bidding Law",GHG Emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.gov.cn/zhengce/zhengceku/2022-10/25/content_5721569.htm,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
